title,language,deity,category,yt_query,style,tala,raga,neuro_tags,repetition_count,repetition_type,single_duration_min,cumulative_exposure_min,repetition_note,literature_eeg,cross_cultural_parallel,hawan_performed,hawan_samagri,mirchi_quantity_kg,homa_ahutis,capsaicin_total_g,olfactory_eeg_modifier,trigeminal_arousal_idx,net_hawan_eeg_state,phq9_boost_hawan,layer,instrumental_notes,aarti_instruments,instrument_eeg_boost,visual_stimulus,tactile_stimulus
Taoist Fu Breathing Meditation,Classical Chinese,Tao,Taoist,Taoist chanting meditation qigong,monotone_recitation,breath_rhythm,,"['delta_theta', 'breath_synchronised', 'internal_alchemy']",108,fixed_count,1.0,108,"108 breaths — Taoist neidan (inner alchemy); 108 shared across Hindu, Buddhist, Taoist traditions",Delta/theta predicted; breath-synchronised = pranayama parallel,"Gayatri Mantra 108× (108× dose, breath synchronised)",,,,,,,,,,paper2_taoist,,,,,
Taoist Incense Offering Chant,Classical Chinese,Various deities,Taoist,Taoist incense offering ceremony chant sandalwood traditional temple,call_response,free_metre,,"['olfactory_modulation', 'alpha_theta', 'ceremonial_context']",1,occasion_based,20.0,20,Taoist incense offering — East Asian olfactory parallel to Indian hawan; no trigeminal component,Alpha/theta predicted; agarwood EEG effect documented (Takemoto 2008),"Chandi Path hawan (olfactory pathway, no trigeminal)",True,"{'sandalwood_incense': {'compound': 'alpha_santalol', 'pathway': 'olfactory_bulb', 'eeg_modifier': '+4_alpha', 'reference': 'Heuberger 2006'}, 'agarwood': {'compound': 'agarospirol', 'pathway': 'olfactory_bulb', 'eeg_modifier': '+5_theta', 'reference': 'Takemoto 2008'}}",,,,9.0,0.0,olfactory_alpha_theta,,paper2_taoist,,,,,
Norito Oharae Kotoba,Classical Japanese,Kami,Shinto,Norito Oharae Kotoba Shinto priest recitation traditional purification,monotone_recitation,free_metre,,"['delta_dominant', 'very_slow_tempo', 'low_F0']",1,occasion_based,15.0,15,Great Purification prayer — slowest East Asian track; monotone similar to Vedic suktam,Delta predicted; no published EEG on Shinto recitation,"Narayana Suktam (monotone, very slow, ritual purification context)",,,,,,,,,,paper2_shinto,,,,,
Kagura Sacred Dance Chant,Classical Japanese,Kami,Shinto,Kagura Shinto sacred dance chant traditional ceremony Japanese,melodic,free_metre,,"['alpha_dominant', 'kinesthetic_overlay', 'ceremonial_melodic']",1,occasion_based,30.0,30,Sacred dance + melody; Noh-influenced; combines movement and chant,Alpha predicted; Noh music EEG: frontal alpha increase (Hori 1994),"Kirtan Asa Di Var (melodic, devotional, ceremonial)",,,,,,,,,,paper2_shinto,,,,,
Shinto Tamagushi Offering Chant,Classical Japanese,Kami,Shinto,Shinto Tamagushi offering ceremony Kagura chant priest shrine,monotone_recitation,free_metre,,"['theta_dominant', 'low_spectral_centroid', 'nature_resonance']",1,occasion_based,10.0,10,Tamagushi (sacred branch offering) — shortest Shinto track; monotone chant at offering,Theta predicted; very low SC matches Vedic theta profile,"Purusha Suktam (offering context, monotone, Sanskrit)",,,,,,,,,,paper2_shinto,,,,,
Shiva Damroo Dhwani Bhajan,Hindi/Sanskrit,Shiva,Bhajan,Shiva Damroo Dhwani bhajan traditional tabla mridangam,rhythmic_chant,Dadra,Bhairavi,"['damroo_theta', 'dual_tone_resonance', 'theta_beta']",11,fixed_count,8.0,88,,,,,,,,,,,,,paper2_instrumental,Damroo at 5.5 Hz rhythm (theta band) + tabla accompaniment; traditional Shaivite bhajan with instrumental theta induction,,,,
Om Namah Shivaya Tabla Kirtan,Sanskrit,Shiva,Bhajan,Om Namah Shivaya kirtan tabla,rhythmic_chant,Teentaal,Kafi,"['tabla_alpha', 'japa_entrainment', 'rhythmic_alpha']",108,fixed_count,0.5,54,,,,,,,,,,,,,paper2_instrumental,Tabla at 10 Hz rhythm (alpha band); 108× japa with tabla; demonstrates rhythmic bhajan at japa dose = Vedic score,,,,
Carnatic Bhajan Tiruppugazh Mridangam,Tamil,Murugan,Tamil Stotram,Tiruppugazh Carnatic bhajan mridangam traditional Arunagirinathar,rhythmic_chant,Khanda Chapu,Sankarabharanam,"['mridangam_alpha', 'carnatic_rhythm', 'alpha_beta_transition']",1,occasion_based,12.0,12,,,,,,,,,,,,,paper2_instrumental,Mridangam at 9 Hz (alpha band); Carnatic raga Sankarabharanam (equivalent to Western major scale); captures Tamil instrumental tradition,,,,
Aarti Jai Jagdish with Full Orchestra,Hindi,Vishnu,Bhajan,Om Jai Jagdish Hare aarti,melodic,Keherwa,Bhairavi,"['pancha_indriya', 'full_ritual', 'alpha_theta_convergence']",1,occasion_based,7.0,7,,,,False,,,,,,,,,paper2_pancha_indriya,Harmonium + tabla + ghanta + shankha — full aarti instrumentation; represents the Pancha Indriya complete stimulus; adds ghanta (bell) and shankha (conch) EEG modifiers,"['harmonium', 'tabla', 'ghanta', 'shankha', 'manjira']",14.0,,
Shiva Puja Abhisheka Damroo Chant,Sanskrit,Shiva,Stotram,Shiva abhisheka puja chant,monotone_recitation,free_metre,,"['pancha_indriya', 'water_tactile', 'damroo_theta', 'visual_shivling']",11,fixed_count,20.0,220,,,,False,,,,,,,,,paper2_pancha_indriya,Abhisheka water (tactile + visual + auditory) + damroo + bilva patra (smell); Full Pancha Indriya Shiva puja: Shivling (visual) + water (tactile+audio) + bilva flowers (smell) + damroo (theta) + mantra (auditory),"['damroo', 'ghanta']",11.0,shivling_abhisheka,abhisheka_water
Nyahbinghi Groundation Chant,English/Amharic,Jah/Haile Selassie,Rastafari,Nyahbinghi Rastafari drum chant,rhythmic_chant,nyahbinghi_3drum,,"['theta_dominant', 'drum_entrainment', 'bass_frequency']",1,continuous_loop,240.0,240,"Three-drum ensemble (bass, fundeh, repeater); longest continuous session in dataset (4 hrs)",Theta predicted; bass drum at 1-2 Hz = delta/theta; African diaspora tradition,"Ngoma healing drum (African tradition, rhythmic, theta)",,,,,,,,,,paper2_rastafari,,,,,
Rastafari Psalm Chant Ises,English/Iyaric,Jah,Rastafari,Rastafari Ises chant Psalm traditional Nyahbinghi vocal,melodic,free_metre,,"['alpha_dominant', 'vocal_harmony', 'spiritual_resonance']",1,occasion_based,15.0,15,Chanting Psalms in Iyaric dialect; melodic vocal harmony; African-diaspora spirituality,Alpha predicted; melodic devotional chanting shared mechanism,"Vaishnav Jan To (melodic devotional, alpha dominant)",,,,,,,,,,paper2_rastafari,,,,,
Rastafari Reasoning Circle Chant,English/Iyaric,Jah,Rastafari,Rastafari Ises reasoning chant,call_response,free_metre,,"['alpha_theta', 'call_response_sync', 'communal_resonance']",1,occasion_based,60.0,60,Reasoning circle — call-response communal chanting; Alpha/theta through group resonance,Alpha/theta predicted; call-response synchrony documented in group singing EEG studies,"Kyrie Eleison Byzantine (call-response, communal, alpha/theta)",,,,,,,,,,paper2_rastafari,,,,,
Lalita Sahasranamam,Sanskrit,Lalita Devi,Stotram,Lalita Sahasranamam MS Subbulakshmi full,melodic,Adi,Madhyamavati,"['alpha_dominant', 'harmonic_resonance', 'meditative_onset']",1,occasion_based,45.0,45,,,,,,,,,,,,,expanded,,,,,
Argala Stotram,Sanskrit,Durga,Stotram,Argala Stotram Sanskrit recitation full,monotone_recitation,free_metre,,"['theta_dominant', 'low_frequency_grounding']",7,fixed_count,8.0,56,,,,,,,,,,,,,expanded,,,,,
Nirvana Shatakam,Sanskrit,Shiva,Stotram,Nirvana Shatakam Aham Brahmasmi chant full,monotone_recitation,free_metre,,"['theta_dominant', 'meditative_onset']",11,fixed_count,5.0,55,,,,,,,,,,,,,expanded,,,,,
Soundarya Lahari,Sanskrit,Parvati,Stotram,Soundarya Lahari full recitation Sanskrit,melodic,free_metre,,"['alpha_dominant', 'harmonic_resonance']",1,occasion_based,35.0,35,,,,,,,,,,,,,expanded,,,,,
Achyutashtakam,Sanskrit,Vishnu,Stotram,Achyutashtakam Sanskrit Shankaracharya recitation,melodic,free_metre,,"['alpha_dominant', 'harmonic_resonance']",1,occasion_based,7.0,7,,,,,,,,,,,,,expanded,,,,,
Govind Bolo Hari Gopal Bolo,Hindi,Krishna,Bhajan,Govind Bolo Hari Gopal Bolo bhajan kirtan,rhythmic_chant,Keherwa,Kafi,"['rhythm_entrainment', 'japa_entrainment']",108,fixed_count,0.5,54,,,,,,,,,,,,,expanded,,,,,
Shree Ram Jai Ram Kirtan,Sanskrit,Rama,Bhajan,Shree Ram Jai Ram Jai Jai Ram kirtan 108,rhythmic_chant,Teentaal,Bhairavi,"['japa_entrainment', 'rhythm_entrainment', 'theta_dominant']",108,fixed_count,0.5,54,,,,,,,,,,,,,expanded,,,,,
Hey Nath Tere Kitne Nam,Hindi,Shiva,Bhajan,Hey Nath Tere Kitne Nam bhajan Shiva,melodic,Dadra,Yaman,"['alpha_dominant', 'meditative_onset']",1,occasion_based,10.0,10,,,,,,,,,,,,,expanded,,,,,
Jai Ho Ganesh Deva,Hindi,Ganesh,Bhajan,Jai Ho Ganesh Deva aarti bhajan traditional,melodic,Keherwa,Bhairavi,"['alpha_dominant', 'harmonic_resonance']",1,occasion_based,7.0,7,,,,,,,,,,,,,expanded,,,,,
Meenakshi Pancharatnam,Tamil,Meenakshi,Tamil Stotram,Meenakshi Pancharatnam Tamil recitation,melodic,Adi,Mukhari,"['alpha_dominant', 'harmonic_resonance']",1,occasion_based,8.0,8,,,,,,,,,,,,,expanded,,,,,
Kavadi Chindu Murugan,Tamil,Murugan,Tamil Stotram,Kavadi Chindu Murugan Tamil devotional,rhythmic_chant,Khanda Chapu,Shanmukhapriya,"['rhythm_entrainment', 'beta_wave_induction']",1,occasion_based,10.0,10,,,,,,,,,,,,,expanded,,,,,
Sivan Vandana Tamil,Tamil,Shiva,Tamil Stotram,Sivan vandana Tamil stotram recitation,monotone_recitation,free_metre,,"['theta_dominant', 'low_frequency_grounding']",1,occasion_based,15.0,15,,,,,,,,,,,,,expanded,,,,,
Bhu Suktam,Sanskrit,Bhudevi,Vedic,Bhu Suktam Vedic chanting traditional,monotone_recitation,free_metre,,"['theta_dominant', 'low_frequency_grounding']",11,fixed_count,12.0,132,,,,,,,,,,,,,expanded,,,,,
Rudra Suktam,Sanskrit,Rudra,Vedic,Rudra Suktam Vedic recitation traditional,monotone_recitation,free_metre,,"['theta_dominant', 'low_frequency_grounding']",11,fixed_count,10.0,110,,,,,,,,,,,,,expanded,,,,,
Pali Metta Sutta,Pali,Buddha,Buddhist,Metta Sutta Pali chanting Theravada,monotone_recitation,free_metre,,"['theta_dominant', 'alpha_dominant', 'meditative_onset']",3,fixed_count,15.0,45,,,,,,,,,,,,,expanded,,,,,
Surah Ar Rahman Recitation,Arabic,Allah,Islamic,Surah Rahman slow recitation Quran maqam,melodic,free_metre,,"['alpha_dominant', 'harmonic_resonance', 'theta_dominant']",1,occasion_based,20.0,20,,,,,,,,,,,,,expanded,,,,,
Yoruba Orisha Praise Song,Yoruba,Orisha,African Traditional,Yoruba orisha praise song traditional Nigeria,rhythmic_chant,polyrhythmic,,"['rhythm_entrainment', 'beta_wave_induction', 'drum_entrainment']",1,continuous_loop,20.0,20,,,,,,,,,,,,,expanded,,,,,
Yatha Ahu Vairyo Prayer,Avestan,Ahura Mazda,Zoroastrian,Yatha Ahu Vairyo Zoroastrian prayer,monotone_recitation,free_metre,,"['theta_dominant', 'delta_dominant']",21,fixed_count,1.0,21,,,,,,,,,,,,,expanded,,,,,
Polyeleos Psalm 134 Byzantine,Greek,God,Greek Orthodox,Polyeleos Byzantine chant Orthodox choir,call_response,free_metre,,"['alpha_dominant', 'harmonic_resonance']",1,occasion_based,25.0,25,,,,,,,,,,,,,expanded,,,,,
Zhang Zhung Mantra A,Zhang Zhung,Kuntu Zangpo,Tibetan Bon,Zhang Zhung mantra Bon chant Tibet,monotone_recitation,free_metre,,"['delta_dominant', 'very_slow_tempo']",108,fixed_count,0.5,54,,,,,,,,,,,,,expanded,,,,,
Heart Sutra Chinese Chanting,Classical Chinese,Guanyin,Taoist,Heart Sutra Chinese chanting traditional,monotone_recitation,free_metre,,"['theta_dominant', 'low_spectral_centroid']",7,fixed_count,5.0,35,,,,,,,,,,,,,expanded,,,,,
Sukhmani Sahib Paath,Punjabi,Waheguru,Sikhism,Sukhmani Sahib full paath recitation Gurbani,monotone_recitation,free_metre,,"['theta_dominant', 'meditative_onset']",1,occasion_based,90.0,90,,,,,,,,,,,,,expanded,,,,,
Rumi Ney Chant Beshno,Persian,Allah,Sufism,Rumi Masnavi Beshno ney chant Sufi Persian,melodic,free_metre,,"['alpha_dominant', 'harmonic_resonance']",1,occasion_based,20.0,20,,,,,,,,,,,,,expanded,,,,,
Hopi Rain Song,Hopi,Kachina,Native American,Hopi rain song traditional ceremonial,rhythmic_chant,free_metre,,"['theta_dominant', 'rhythm_entrainment']",4,fixed_count,8.0,32,,,,,,,,,,,,,expanded,,,,,
Rastafari Groundation Psalm,English/Iyaric,Jah,Rastafari,Rastafari groundation psalm Nyahbinghi,call_response,free_metre,,"['alpha_theta', 'communal_resonance']",1,occasion_based,30.0,30,,,,,,,,,,,,,expanded,,,,,
Mi-kagura Shinto Court Music,Classical Japanese,Kami,Shinto,Mi-kagura Shinto court music Japan gagaku,melodic,free_metre,,"['alpha_dominant', 'delta_dominant']",1,occasion_based,30.0,30,,,,,,,,,,,,,expanded,,,,,
